Wall time,Step,Value
1549622601,1914,0.304428995
1549622611,1919,0.300784379
1549622643,1925,0.308215946
1549622645,1926,0.29697147
1549622657,1932,0.272146404
1549622665,1936,0.247934982
1549622669,1938,0.247098386
1549622672,1940,0.246810511
1549622684,1946,0.21622856
1549622690,1949,0.21542573
1549622694,1951,0.227970362
1549622700,1954,0.225794479
1549622706,1957,0.239602253
1549622712,1960,0.223844677
1549622716,1962,0.228846297
1549622730,1969,0.255758166
1549622734,1971,0.256227434
1549622758,1983,0.232710451
1549622760,1984,0.225898728
1549622762,1985,0.227418602
1549622789,1999,0.213752463
1549622804,2003,0.230235592
1549622812,2007,0.259240538
1549622814,2008,0.249773026
1549622820,2011,0.24801898
1549622821,2012,0.238249674
1549622827,2015,0.252714962
1549622831,2017,0.23541528
1549622835,2019,0.218337104
1549622845,2024,0.229001865
1549622851,2027,0.231117636
1549622855,2029,0.219154969
1549622861,2032,0.229840785
1549622867,2035,0.23265405
1549622873,2038,0.246643573
1549622877,2040,0.23852028
1549622883,2043,0.236039549
1549622888,2046,0.230640724
1549622890,2047,0.24330622
1549622920,2062,0.236256525
1549622933,2069,0.22911118
1549622943,2074,0.233527318
1549622945,2075,0.22826758
1549622947,2076,0.221936464
1549622951,2078,0.205977529
1549622953,2079,0.203612491
1549622957,2081,0.641408324
1549622961,2083,0.548054159
1549622967,2086,0.454029322
1549622969,2087,0.431152761
1549622977,2091,0.337220162
1549622987,2096,0.272235304
1549622991,2098,0.272927582
1549623005,2105,0.224313825
1549623009,2107,0.209447354
1549623011,2108,0.208961189
1549623017,2111,0.208802134
1549623041,2113,0.197401181
1549623049,2117,0.191739157
1549623055,2120,0.200112879
1549623059,2122,0.193285868
1549623063,2124,0.179799616
1549623065,2125,0.171154648
1549623085,2135,0.157983527
1549623087,2136,0.149957135
1549623095,2140,0.141595483
1549623101,2143,0.138615608
1549623107,2146,0.136185169
1549623109,2147,0.145728156
1549623111,2148,0.149559245
1549623115,2150,0.162696496
1549623117,2151,0.168032661
1549623121,2153,0.161513001
1549623130,2158,0.167404309
1549623132,2159,0.168742791
1549623146,2166,0.164879426
1549623148,2167,0.180364788
1549623156,2171,0.188269034
1549623160,2173,0.181440353
1549623164,2175,0.193968654
1549623172,2179,0.20154123
1549623193,2189,0.182883382
1549623197,2191,0.203970402
1549623201,2193,0.213491544
1549623202,2194,0.215587229
1549623210,2198,0.213077649
1549623214,2200,0.205451369
1549623216,2201,0.196180537
1549623218,2202,0.189024329
1549623232,2209,0.191589564
1549623240,2213,0.172791198
1549623246,2216,0.160244584
1549623268,2227,0.170621887
1549623275,2231,0.155817136
1549623279,2233,0.141293094
1549623285,2236,0.146340892
1549623289,2238,0.136244997
1549623291,2239,0.13736558
1549623295,2241,0.144274607
1549623297,2242,0.140005693
1549623299,2243,0.134768456
1549623301,2244,0.145836025
1549623305,2246,0.151929229
1549623309,2248,0.164991915
1549623311,2249,0.167401448
1549623319,2253,0.180516154
1549623321,2254,0.180368736
1549623325,2256,0.179707646
1549623331,2259,0.164912373
1549623341,2264,0.155868635
1549623364,2276,0.425220221
1549623372,2280,0.334206402
1549623378,2283,0.284523606
1549623392,2290,0.240196183
1549623398,2293,0.226474851
1549623410,2299,0.203459159
1549623412,2300,0.19932808
1549623416,2302,0.18614082
1549623443,2305,0.173976317
1549623449,2308,0.163226083
1549623451,2309,0.164296776
1549623453,2310,0.155874535
1549623472,2320,0.138905659
1549623474,2321,0.144691795
1549623476,2322,0.13739948
1549623480,2324,0.134999305
1549623490,2329,0.143758923
1549623503,2336,0.142148986
1549623505,2337,0.135312557
1549623507,2338,0.135562256
1549623509,2339,0.134294048
1549623525,2347,0.127693519
1549623543,2356,0.127320528
1549623553,2361,0.150011465
1549623569,2369,0.138817191
1549623571,2370,0.142052308
1549623576,2373,0.137732089
1549623598,2384,0.13142328
1549623604,2387,0.140527755
1549623609,2390,0.139519453
1549623611,2391,0.138940781
1549623613,2392,0.142736346
1549623617,2394,0.13535361
1549623633,2402,0.130660072
1549623637,2404,0.13702397
1549623641,2406,0.13281022
1549623644,2408,0.13547264
1549623664,2418,0.11164137
1549623680,2426,0.136206985
1549623682,2427,0.133867487
1549623692,2432,0.114539392
1549623703,2438,0.096002251
1549623719,2446,0.104084954
1549623731,2452,0.096786842
1549623733,2453,0.102097817
1549623735,2454,0.110543296
1549623737,2455,0.10911645
1549623741,2457,0.114152215
1549623751,2462,0.114436314
1549623787,2481,0.202250555
1549623791,2483,0.187721923
1549623799,2487,0.155008495
1549623801,2488,0.153712705
1549623841,2498,0.120549232
1549623846,2500,0.112801135
1549623857,2503,0.106495909
1549623859,2504,0.105796792
1549623861,2505,0.108630776
1549623880,2515,0.102039643
1549623882,2516,0.101579726
1549623886,2518,0.10458342
1549623888,2519,0.102791369
1549623892,2521,0.145000592
1549623900,2525,0.148802459
1549623904,2527,0.151433304
1549623910,2530,0.138842136
1549623914,2532,0.123308308
1549623918,2534,0.112981245
1549623922,2536,0.108226284
1549623939,2545,0.086870104
1549623947,2549,0.080390342
1549623955,2553,0.083839908
1549623959,2555,0.076847777
1549623965,2558,0.083166547
1549623971,2561,0.084608063
1549623982,2567,0.105830126
1549623984,2568,0.104167782
1549623992,2572,0.091661334
1549623998,2575,0.08923959
1549624004,2578,0.105911121
1549624008,2580,0.106311925
1549624018,2585,0.091359526
1549624026,2589,0.084666654
1549624031,2592,0.086094543
1549624034,2593,0.085240893
1549624036,2594,0.085397437
1549624038,2595,0.086349174
1549624044,2598,0.096097842
1549624051,2602,0.084914349
1549624064,2608,0.10259071
1549624066,2609,0.097309351
1549624071,2612,0.082706437
1549624087,2620,0.099644832
1549624097,2625,0.108450972
1549624103,2628,0.11383982
1549624109,2631,0.110001653
1549624111,2632,0.108285971
1549624115,2634,0.101040117
1549624120,2637,0.097593933
1549624122,2638,0.094717637
1549624126,2640,0.099198386
1549624138,2646,0.093754068
1549624144,2649,0.0886847
1549624150,2652,0.083730705
1549624152,2653,0.08295621
1549624160,2657,0.570488989
1549624172,2663,0.332097918
1549624197,2676,0.154563874
1549624205,2680,0.128534064
1549624209,2682,0.111721635
1549624218,2687,0.104063988
1549624250,2692,0.099376887
1549624258,2696,0.123261243
1549624268,2701,0.133539841
1549624275,2705,0.117300279
1549624283,2709,0.106988259
1549624289,2712,0.093031727
1549624319,2727,0.062747829
1549624338,2737,0.079751626
1549624340,2738,0.08339303
1549624342,2739,0.080998071
1549624348,2742,0.072305538
1549624360,2748,0.083842091
1549624371,2754,0.075532101
1549624373,2755,0.070614532
1549624375,2756,0.067605525
1549624377,2757,0.062532112
1549624379,2758,0.065311752
1549624381,2759,0.065206595
1549624383,2760,0.060799662
1549624399,2768,0.081432849
1549624444,2791,0.083371654
1549624446,2792,0.081530556
1549624448,2793,0.08085686
1549624462,2800,0.076654322
1549624483,2811,0.067079611
1549624487,2813,0.066905245
1549624495,2817,0.063221514
1549624511,2825,0.084245555
1549624513,2826,0.084391311
1549624519,2829,0.101072766
1549624523,2831,0.098653704
1549624525,2832,0.098378852
1549624528,2834,0.09026096
1549624565,2853,0.421675026
1549624575,2858,0.289807022
1549624581,2861,0.225347564
1549624586,2864,0.180493146
1549624604,2873,0.137530565
1549624606,2874,0.128963202
1549624619,2880,0.097304597
1549624642,2882,0.096691102
1549624644,2883,0.101977892
1549624656,2889,0.079540946
1549624662,2892,0.078432135
1549624664,2893,0.072821155
1549624674,2898,0.059917849
1549624678,2900,0.060308985
1549624682,2902,0.061750777
1549624687,2905,0.053678516
1549624689,2906,0.061603561
1549624705,2914,0.080803297
1549624715,2919,0.063346416
1549624719,2921,0.056931902
1549624720,2922,0.058828726
1549624722,2923,0.055663493
1549624730,2927,0.05725969
1549624744,2934,0.05180835
1549624764,2944,0.067347392
1549624779,2952,0.057507873
1549624813,2969,0.062428884
1549624823,2974,0.062731981
1549624827,2976,0.061696369
1549624829,2977,0.058196362
1549624834,2980,0.058587685
1549624854,2990,0.062329717
1549624866,2996,0.086311743
1549624875,3000,0.074925251
1549624890,3005,0.071702681
1549624894,3007,0.066086866
1549624898,3009,0.069463328
1549624902,3011,0.059581615
1549624906,3013,0.052695524
1549624914,3017,0.056109522
1549624916,3018,0.054414421
1549624922,3021,0.059585601
1549624924,3022,0.0698613
1549624925,3023,0.084855467
1549624933,3027,0.111136749
1549624937,3029,0.144223779
1549624943,3032,0.127866641
1549624945,3033,0.136699453
1549624949,3035,0.168441147
1549624959,3040,0.148145452
1549624963,3042,0.624886215
1549624965,3043,0.569146752
1549624967,3044,0.521845818
1549624979,3050,0.306589872
1549624983,3052,0.259329051
1549624989,3055,0.207066357
1549625007,3064,0.1108092
1549625013,3067,0.09773948
1549625017,3069,0.089832909
1549625021,3071,0.08229465
1549625044,3073,0.072072044
1549625049,3075,0.066576399
1549625066,3084,0.06151019
1549625074,3088,0.051542405
1549625078,3090,0.047423497
1549625084,3093,0.050071377
1549625100,3101,0.044207435
1549625108,3105,0.050180133
1549625115,3109,0.052784719
1549625127,3115,0.045004889
1549625141,3122,0.040121172
1549625144,3124,0.041810341
1549625154,3129,0.028792286
1549625168,3136,0.031788118
1549625174,3139,0.033689074
1549625176,3140,0.032843731
1549625185,3145,0.065466382
1549625187,3146,0.066345431
1549625189,3147,0.063579001
1549625193,3149,0.065175362
1549625199,3152,0.070510693
1549625209,3157,0.081786245
1549625215,3160,0.077700965
1549625217,3161,0.076174207
1549625221,3163,0.06944295
1549625232,3169,0.070822679
1549625251,3179,0.050838269
1549625265,3186,0.06592682
1549625271,3189,0.05703748
1549625273,3190,0.054810438
1549625286,3197,0.061765768
1549625288,3198,0.06347283
1549625290,3199,0.060221076
1549625292,3200,0.061702404
1549625302,3205,0.054954842
1549625307,3208,0.060740601
1549625354,3232,0.061847128
1549625360,3235,0.486857116
1549625363,3237,0.406390131
1549625373,3242,0.256962627
1549625379,3245,0.199284658
1549625381,3246,0.180196404
1549625385,3248,0.160705581
1549625387,3249,0.158769295
1549625400,3256,0.114730448
1549625404,3258,0.105073377
1549625408,3260,0.092664205
1549625447,3269,0.060318857
1549625456,3274,0.04421578
1549625458,3275,0.04257952
1549625470,3281,0.044499598
1549625474,3283,0.042926867
1549625478,3285,0.043707367
1549625482,3287,0.040397644
1549625490,3291,0.045008685
1549625495,3294,0.039672635
1549625503,3298,0.04554078
1549625521,3307,0.051204044
1549625523,3308,0.051408853
1549625525,3309,0.053248242
1549625537,3315,0.046057146
1549625552,3323,0.04255534
1549625560,3327,0.039471962
1549625564,3329,0.041398481
1549625566,3330,0.039161365
1549625568,3331,0.047790755
1549625576,3335,0.047549915
1549625586,3340,0.054441627
1549625599,3347,0.054009516
1549625607,3351,0.044453312
1549625615,3355,0.039008673
1549625617,3356,0.040521614
1549625623,3359,0.049449343
1549625631,3363,0.047614161
1549625634,3365,0.04637013
1549625646,3371,0.044374205
1549625652,3374,0.044468325
1549625656,3376,0.041119885
1549625660,3378,0.040309299
1549625664,3380,0.043921478
1549625669,3383,0.053809009
1549625673,3385,0.055790722
1549625679,3388,0.054602366
1549625687,3392,0.041747496
1549625691,3394,0.051451251
1549625703,3400,0.04963468
1549626076,3405,0.052547093
1549626078,3406,0.052475974
1549626086,3410,0.06088794
1549626101,3417,0.049042065
1549626117,3425,0.765042841
1549626123,3428,0.571286142
1549626129,3431,0.434365511
1549626131,3432,0.397025675
1549626137,3435,0.304385334
1549626147,3440,0.203385562
1549626159,3446,0.124712363
1549626161,3447,0.11752063
